85,86,87,88,85,86,87,88,85,86,87,88,85,86,87,88
169,170,171,172,169,170,341,172,169,170,171,172,169,170,507,172
84,85,86,87,88,592,588,336,425,507,84,85,86,504,88,84
168,169,170,171,172,420,593,508,422,507,341,423,170,171,172,168
252,253,421,425,84,252,504,421,423,338,507,84,254,255,256,252
109,109,86,590,338,422,508,509,505,509,340,505,337,87,109,109
296,297,170,171,84,425,423,508,171,172,420,506,170,171,296,297
380,381,109,109,109,109,109,432,433,109,109,109,109,109,380,381
285,542,286,286,286,286,287,516,517,285,286,286,286,286,542,287
369,626,370,370,370,370,371,600,601,369,370,370,370,370,626,371
87,592,505,336,505,505,420,510,511,505,421,593,343,253,256,171
87,590,420,504,508,589,504,504,508,590,421,421,426,508,253,252
285,286,286,99,100,286,286,286,286,286,286,99,100,286,286,286
369,370,370,183,184,370,370,370,370,370,370,183,184,370,370,370
171,5,3,267,268,85,256,254,170,84,3,267,268,5,169,3
255,256,255,85,88,87,3,2,86,169,170,85,169,257,170,0
89,1,169,172,1,252,253,88,256,254,3,87,170,252,1,255
170,85,0,252,5,253,84,2,86,255,173,0,84,173,169,170
